TYPE_MOUVEMENT;CODE_ARTICLE;TYPE_BARCODE;BARCODE
M;389727505339;;8400005691258
M;389727505340;;8400005691265
M;389727505342;;8400005691289
M;389727505343;;8400005691296
M;389727505344;;8400005691302
M;389727505345;;8400005691319
M;389727505346;;8400005691326
M;389727505347;;8400005691333
M;389727505351;;8400005691630
M;389727505348;;8400005691340
M;389727505349;;8400005691357
M;389727505350;;8400005691623
M;389727505352;;8400005691647
M;389727505356;;8400005691685
M;389727505353;;8400005691654
M;389727505354;;8400005691661
M;389727505355;;8400005691678
M;389727505359;;8400005691715
M;389727505360;;8400005691883
M;389727505357;;8400005691692
M;389727505358;;8400005691708
M;389727505361;;8400005691890
M;389727505365;;8400005691937
M;389727505362;;8400005691906
M;389727505363;;8400005691913
M;389727505364;;8400005691920
M;389727505366;;8400005691944
M;389727505367;;8400005691951
M;389727505368;;8400005691968
M;389727505369;;8400005691975
M;389727846592;;8400005484621
M;389727846593;;8400005484638
M;389727846590;;8400005484607
M;389727846591;;8400005484614
M;389727846597;;8400005484676
M;389727846594;;8400005484645
M;389727846595;;8400005484652
M;389727846596;;8400005484669
M;389727846598;;8400005484683
M;389727846599;;8400005484690
M;389727846600;;8400005484706
M;389727846606;;8400005482856
M;389727846601;;8400005484713
M;389727846602;;8400005484720
M;389727846603;;8400005482825
M;389727846604;;8400005482832
M;389727846605;;8400005482849
M;543226735118;;5711747560966
M;543226735119;;5711747560997
M;543226847353;;5711747558093
M;543226847351;;5711747560492
M;543226847352;;5711747558406
M;543226847354;;5711747558123
M;543226972803;;5711747577513
M;543226735120;;5711747561048
M;543226735117;;5711747560935
M;543226735121;;5711747561062
M;543226735122;;5711747557898
M;543226735123;;5711747571344
M;543226735124;;5711747500573
M;543226735125;;5711747558079
M;543226972806;;5711747557201
M;543226972808;;5711747560683
M;543226972813;;5711747558352
M;543226972811;;5711747578138
M;543226972810;;5711747557980
M;543226972812;;5711747578145
M;543226972814;;5711747572952
M;543226972820;;543236972820
M;543226972820;;5711747558512
M;543226972815;;5711747572969
M;543226972816;;5711747571252
M;543226972818;;5711747580292
M;543227019383;;5711747560959
M;543227019384;;5711747603281
M;543227019385;;5711747529635
M;543227019386;;5711747603779
M;543227019387;;5711747558413
M;543227019388;;5711747558598
M;543227019392;;5711747604240
M;543227019389;;5711747603953
M;543227019390;;5711747603991
M;543227019391;;5711747558741
M;543227019393;;5711747604257
M;543227019394;;5711747571320
M;543227019398;;5711747558024
M;543227019397;;5711747500450
M;543227019395;;5711747604295
M;543227019396;;5711747572921
M;543227019399;;5711747500481
M;543227077811;;5711747500528
M;543227019400;;5711747604738
M;543227019401;;5711747604752
M;543227019763;;5711747558703
M;543227077809;;5711747560911
M;543227077810;;5711747560928
M;543227077812;;5711747580261
M;543227077813;;5711747558086
M;543227077814;;5711747571856
M;543227295866;;5711747560652
M;543227295867;;5711747603915
M;543227341906;;5711747561031
M;543227295868;;5711747611620
M;543227295869;;5711747500511
M;543227295870;;5711747500955
M;543227295871;;5711747572228
M;543227295872;;5711747501334
M;543227341910;;5715793002920
M;543227341907;;5711747571290
M;543227341908;;5711747557874
M;543227341909;;5715793004009
M;543227341911;;5715793003101
M;543227341915;;5715793003637
M;543227341912;;543237341912
M;543227341913;;5715793002944
M;543227341914;;5715793004221
M;543227341916;;5715793003590
M;543227341917;;543237341917
M;543227341921;;543237341921
M;543227341919;;5715793003842
M;543227341918;;543237341918
M;543227341920;;5715793003453
M;543227341922;;543237341922
M;543227341926;;543237341926
M;543227341923;;5715793007963
M;543227341924;;5715793005686
M;543227341925;;5715793016231
M;543227341927;;5715793005648
M;543227341928;;543237341928
M;543227341929;;543237341929
M;543227341930;;543237341930
M;543227341931;;543237341931
M;031427598030;;8056624013447
M;031427598031;;8056624013454
M;031427598032;;8056624013461
M;031427598033;;8056624013478
M;031427598034;;8056624013485
M;031427598035;;8056624021428
M;031427598039;;8056624013515
M;031427598040;;8056624013522
M;031427598036;;8056624021541
M;031427598037;;8056624013492
M;031427598038;;8056624013508
M;031427598041;;8056624013539
M;031427606848;;889214602718
M;031427598043;;8056624021596
M;031427598042;;8056624013546
M;031427606845;;889214626011
M;031427606846;;889214626042
M;031427606847;;889214626141
M;031427611089;;8059552755274
M;031427606849;;889214625571
M;031427606850;;889214625670
M;031427611086;;8059552755533
M;031427611087;;8059552797441
M;031427611088;;8059552797304
M;031427611095;;8059552739830
M;031427611090;;8059552797496
M;031427611091;;8059552739793
M;031427611092;;8059552739809
M;031427611093;;8059552739816
M;031427611094;;8059552739823
M;031427755694;;8059552797311
M;031427611096;;8059552739847
M;031427611097;;8059552797328
M;031427910201;;8056624072505
M;031427783923;;8059552797281
M;031427783925;;8059552797342
M;031427783924;;8059552755250
M;031427783926;;8059552797397
M;031427910202;;8056624072536
M;031427910199;;8056624072451
M;031427910200;;8056624072475
