TYPE_ATTRIBUT;CODE_ATTRIBUT;LIBELLE_ATTRIBUT;TYPE_ATTRIBUT_PARENT;CODE_ATTRIBUT_PARENT
FAMILLE;Clincher Disc;Clincher Disc;RAYON;wolfis
FAMILLE;Clincher Rim;Clincher Rim;RAYON;wolfis
FAMILLE;CO2 Systems;CO2 Systems;RAYON;wolfis
FAMILLE;Coaching;Coaching;RAYON;wolfis
FAMILLE;Colnago Replacement Parts;Colnago Replacement Parts;RAYON;wolfis
FAMILLE;Computer;Computer;RAYON;wolfis
FAMILLE;Computer Mount;Computer Mount;RAYON;wolfis
FAMILLE;Crankarms;Crankarms;RAYON;wolfis
FAMILLE;Crankset;Crankset;RAYON;wolfis
FAMILLE;Crankset - Accessories;Crankset - Accessories;RAYON;wolfis
FAMILLE;Crankset - Spare Parts;Crankset - Spare Parts;RAYON;wolfis
FAMILLE;Crankset Power Meter;Crankset Power Meter;RAYON;wolfis
FAMILLE;Credit;Credit;RAYON;wolfis
FAMILLE;Cross Bars;Cross Bars;RAYON;wolfis
FAMILLE;Custom Frame;Custom Frame;RAYON;wolfis
FAMILLE;Cycle Riser;Cycle Riser;RAYON;wolfis
FAMILLE;Cycling Cap;Cycling Cap;RAYON;wolfis
FAMILLE;Decals;Decals;RAYON;wolfis
FAMILLE;Degreaser;Degreaser;RAYON;wolfis
FAMILLE;Derailleur;Derailleur;RAYON;wolfis
FAMILLE;Derailleur - Accessories;Derailleur - Accessories;RAYON;wolfis
FAMILLE;Derailleur - Replacement Parts;Derailleur - Replacement Parts;RAYON;wolfis
FAMILLE;Derailleur- Front;Derailleur- Front;RAYON;wolfis
FAMILLE;Derailleur Hanger;Derailleur Hanger;RAYON;wolfis
FAMILLE;Derailleurs- Rear;Derailleurs- Rear;RAYON;wolfis
FAMILLE;Design;Design;RAYON;wolfis
FAMILLE;Dipstick;Dipstick;RAYON;wolfis
FAMILLE;Disc Brake;Disc Brake;RAYON;wolfis
FAMILLE;Disc Brake Kit;Disc Brake Kit;RAYON;wolfis
FAMILLE;Disc Brake Mount Adapter;Disc Brake Mount Adapter;RAYON;wolfis
FAMILLE;Disc Brake Pads;Disc Brake Pads;RAYON;wolfis
FAMILLE;Disc Brake Rotor Adapter;Disc Brake Rotor Adapter;RAYON;wolfis
FAMILLE;Disc Rotor 6-Bolt;Disc Rotor 6-Bolt;RAYON;wolfis
FAMILLE;Disc Rotor Center Lock Adapter;Disc Rotor Center Lock Adapter;RAYON;wolfis
FAMILLE;Disc Valve Adapter;Disc Valve Adapter;RAYON;wolfis
FAMILLE;Discount;Discount;RAYON;wolfis
FAMILLE;Display;Display;RAYON;wolfis
FAMILLE;Display Pop;Display Pop;RAYON;wolfis
FAMILLE;Display Remote Control;Display Remote Control;RAYON;wolfis
FAMILLE;Display Stand;Display Stand;RAYON;wolfis
FAMILLE;Dog crate;Dog crate;RAYON;wolfis
FAMILLE;Dongle ;Dongle ;RAYON;wolfis
FAMILLE;Drink System - Replacement Parts;Drink System - Replacement Parts;RAYON;wolfis
FAMILLE;Drive Unit;Drive Unit;RAYON;wolfis
FAMILLE;Drop Bar;Drop Bar;RAYON;wolfis
FAMILLE;duffle Bag;duffle Bag;RAYON;wolfis
FAMILLE;E-Bike;E-Bike;RAYON;wolfis
FAMILLE;E-Bike Charger;E-Bike Charger;RAYON;wolfis
FAMILLE;E-Bike Cleaner;E-Bike Cleaner;RAYON;wolfis
FAMILLE;Electric Product-Pedal Sensors;Electric Product-Pedal Sensors;RAYON;wolfis
FAMILLE;Electric Wire;Electric Wire;RAYON;wolfis
FAMILLE;Electronic Controllers;Electronic Controllers;RAYON;wolfis
FAMILLE;Electronic Controllers/Shift Switch;Electronic Controllers/Shift Switch;RAYON;wolfis
FAMILLE;Electronic Product Accessories;Electronic Product Accessories;RAYON;wolfis
FAMILLE;Electronic Shifter/DB - Spare Parts;Electronic Shifter/DB - Spare Parts;RAYON;wolfis
FAMILLE;Electronic Shifter/Disc Brake;Electronic Shifter/Disc Brake;RAYON;wolfis
FAMILLE;End Cap;End Cap;RAYON;wolfis
FAMILLE;Endurance Bundle;Endurance Bundle;RAYON;wolfis
FAMILLE;Enduro;Enduro;RAYON;wolfis
FAMILLE;E-Pump;E-Pump;RAYON;wolfis
FAMILLE;Event Items;Event Items;RAYON;wolfis
FAMILLE;Eye Seal;Eye Seal;RAYON;wolfis
FAMILLE;Eyewear;Eyewear;RAYON;wolfis
FAMILLE;Eyewear - Replacement Part;Eyewear - Replacement Part;RAYON;wolfis
FAMILLE;Face Mask;Face Mask;RAYON;wolfis
FAMILLE;Factor;Factor;RAYON;wolfis
FAMILLE;Fat Bike;Fat Bike;RAYON;wolfis
FAMILLE;Fenders;Fenders;RAYON;wolfis
FAMILLE;Fitkit;Fitkit;RAYON;wolfis
FAMILLE;Fitness - Accessories;Fitness - Accessories;RAYON;wolfis
